Country,Country_Code,1/1/1970,1/1/1971,1/1/1972,1/1/1973,1/1/1974,1/1/1975,1/1/1976,1/1/1977,1/1/1978,1/1/1979,1/1/1980,1/1/1981,1/1/1982,1/1/1983,1/1/1984,1/1/1985,1/1/1986,1/1/1987,1/1/1988,1/1/1989,1/1/1990,1/1/1991,1/1/1992,1/1/1993,1/1/1994,1/1/1995,1/1/1996,1/1/1997,1/1/1998,1/1/1999,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018
Philippines,PHL,1257.036642,1287.65485,1319.347738,1396.556945,1405.845256,1443.044663,1527.185451,1569.019138,1605.673535,1650.532814,1688.686392,1699.306004,1713.264475,1698.347692,1531.713392,1381.898508,1391.191756,1412.947077,1469.075669,1520.26738,1527.098944,1480.95041,1450.176564,1445.870003,1474.17915,1507.698887,1559.682152,1603.960622,1559.661994,1572.891447,1607.197783,1618.816177,1642.937903,1689.572895,1767.437901,1817.219867,1878.496933,1968.812423,2016.814655,2006.593843,2124.05677,2164.85508,2270.525865,2390.129291,2495.575295,2605.493599,2743.198363,2884.380594,3021.986863
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,6539.950561,6930.773152,7373.628299,7711.147898,8069.771959,8526.27768,8635.064403,8815.44167,9135.651731,9610.447257,9950.576556,10572.18403,11322.06581,11801.59974,12126.21561,12599.53358,13224.56909,13437.23994,13632.49795,14095.43119,14646.32207,15101.56195,15845.2486,16659.33211
Portugal,PRT,8759.96732,9380.530834,10148.09091,11281.25512,11252.13085,10361.56881,10765.95113,11249.05035,11441.70042,11958.01206,12372.28201,12463.93605,12652.50215,12572.13318,12288.43312,12598.91337,13108.7005,13948.97643,15009.22462,15999.24372,16667.58477,17435.79935,17639.46751,17257.9221,17377.60885,18059.22358,18621.91396,19354.83491,20183.14666,20853.32972,21497.5003,21761.3313,21809.32431,21525.42316,21858.12445,21988.1886,22305.24435,22819.50346,22859.36917,22124.57998,22498.69086,22149.63058,21337.28587,21256.7594,21540.98795,22018.00949,22533.63229,23380.69283,23994.66243
Puerto Rico,PRI,10611.39322,11106.2869,11670.34895,12145.55661,12242.54624,11940.20076,12477.86527,13028.47383,13750.27379,14656.39007,15097.65766,15098.82721,14705.51053,14215.01218,14908.95352,15221.41184,15826.47157,16582.42835,17396.8765,17986.62213,17320.80988,17595.03775,18279.71637,18968.30163,19579.58917,20282.03903,20519.80592,21322.11777,22372.42117,23460.46301,24161.16874,25631.62935,25833.2027,25830.83019,28084.93857,27566.64216,27293.44847,27134.51941,26790.83808,26411.42332,26435.74879,26647.38627,26979.67102,27206.88275,27325.6608,27519.29543,27703.5236,27628.28691,27340.65417
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60837.54454,60892.10024,62632.30978,61063.26146,65885.06022,61649.39284,65819.97994,65183.53029,65046.86144,63218.8412,67403.1603,69679.08848,67623.80074,66360.59094,65560.3754,65137.05739,64303.18636,63632.59866,63260.5585
Romania,ROU,,,,,,,,,,,,,,,,,,,,,5379.074495,4725.062878,4349.928818,4422.447291,4603.022355,4899.855589,5106.018118,4872.431553,4783.420806,4772.890078,4896.697665,5224.613528,5624.603118,5797.951352,6439.153356,6781.491338,7369.49247,8020.192732,8913.979764,8492.617492,8209.919456,8415.999185,8629.143035,8965.648525,9306.243383,9712.147569,10236.86217,11029.13721,11532.06349
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,9883.404239,9549.988067,9047.749614,7729.633924,7067.62055,6186.902788,5928.958874,5714.62933,5804.216901,5505.700688,5876.218252,6491.086042,6851.132363,7206.211877,7767.424427,8360.266854,8929.319159,9693.20523,10535.12772,11087.8223,10219.89474,10674.9972,11125.3477,11517.59131,11699.96943,11573.49957,11282.05791,11298.48374,11469.67549,11729.09437
Rwanda,RWA,335.5141972,329.5566409,320.8284288,322.2270329,317.1039417,300.9333723,348.3438876,343.8979296,363.0845353,392.6441945,413.3068173,421.3883184,415.3344342,425.775911,393.0859709,394.0988757,396.5150769,376.7605745,376.591099,366.6868093,357.3047748,358.398127,401.0552045,394.3337276,207.0121309,284.7152276,311.5758957,332.2511892,333.4831165,322.9257391,330.8821616,345.98341,382.5216445,385.0023444,407.7971283,437.9826651,474.0840159,497.5936712,538.5676589,557.1137823,582.6941191,613.5444681,650.3673999,664.5676808,688.2121987,730.4316868,754.2357159,779.5190461,824.5188484
Samoa,WSM,,,,,,,,,,,,,2275.050526,2270.716418,2287.012652,2365.629617,2487.234964,2492.713968,2450.504566,2532.501507,2407.697254,2335.193697,2309.498267,2380.752486,2298.56878,2432.357521,2590.054247,2593.03943,2638.132787,2683.831064,2855.620661,3037.462295,3151.173566,3273.478908,3403.667256,3522.712932,3569.250062,3770.531202,3783.287385,3576.145372,3566.362435,3685.077919,3504.143186,3459.661149,3435.277475,3558.123361,3824.501891,3847.184825,3748.844069
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,60713.06336,64598.3164,69618.45179,70336.16053,73306.62333,72609.29674,74404.68427,76801.32622,77600.26435,79571.90443,84216.25431,84562.39797,72803.73066,68496.36068,61183.85846,55783.10107,53346.97457,52233.05289,52034.75819,52811.2788,53337.58787,
